,venue.name,venue.location.lat,venue.location.lng,venue.location.distance,venue_type,Beach,Ethiopian restaurant,Indian restaurant,Italian restaurant,Lake,Mexican restaurant,Scenic lookout,Thai restaurant,Waterfall
0,View of Alcatraz,37.8110018095408,-122.41075076252426,2527,Scenic lookout,0,0,0,0,0,0,1,0,0
1,Embarcadero Public Promenade,37.796621918043336,-122.395442269084,1616,Scenic lookout,0,0,0,0,0,0,1,0,0
2,Lyon Street Steps,37.79354365639975,-122.44655907154083,3225,Scenic lookout,0,0,0,0,0,0,1,0,0
3,The Bay Lights,37.79070705517322,-122.3861658090027,2157,Scenic lookout,0,0,0,0,0,0,1,0,0
4,Montgomery & Green,37.80017577512871,-122.40428237095915,1430,Scenic lookout,0,0,0,0,0,0,1,0,0
5,Golden Gate Promenade,37.80547970041795,-122.45395845658027,4274,Scenic lookout,0,0,0,0,0,0,1,0,0
6,Hamon Education Tower Observation Deck,37.77205414758087,-122.46837464962785,5403,Scenic lookout,0,0,0,0,0,0,1,0,0
7,Golden Gate Overlook,37.80410459983463,-122.47678756713866,6090,Scenic lookout,0,0,0,0,0,0,1,0,0
8,Inspiration Point,37.79220658139526,-122.45831688465272,4228,Scenic lookout,0,0,0,0,0,0,1,0,0
9,Immigrant Point Overlook,37.796177092605056,-122.47785677936717,5989,Scenic lookout,0,0,0,0,0,0,1,0,0
10,Corona Heights Summit,37.76499750972105,-122.43924241317987,3622,Scenic lookout,0,0,0,0,0,0,1,0,0
11,Buena Vista Park Summit,37.767875091258176,-122.4414987623464,3550,Scenic lookout,0,0,0,0,0,0,1,0,0
12,Golden Gate Heights Mosaic Stairway,37.756222,-122.473625,6603,Scenic lookout,0,0,0,0,0,0,1,0,0
13,Pacific Overlook,37.80088926627841,-122.47788849511707,6091,Scenic lookout,0,0,0,0,0,0,1,0,0
14,Eagles Point,37.786713525391306,-122.49481025151098,7419,Scenic lookout,0,0,0,0,0,0,1,0,0
15,Vista Point,37.83228741007175,-122.47986491828075,7822,Scenic lookout,0,0,0,0,0,0,1,0,0
16,Conzelman Road Lookout,37.82874651498068,-122.48605143091181,8026,Scenic lookout,0,0,0,0,0,0,1,0,0
17,Vallejo Street Steps,37.799172725859854,-122.40412419910872,1333,Scenic lookout,0,0,0,0,0,0,1,0,0
18,Battery Golden Gate Lookout,37.82972391485144,-122.48331469882349,7891,Scenic lookout,0,0,0,0,0,0,1,0,0
19,Crissy Field Overlook,37.80500841455532,-122.46981112973964,5538,Scenic lookout,0,0,0,0,0,0,1,0,0
20,Coleridge Mini Park,37.74378561915743,-122.41954487872388,5018,Scenic lookout,0,0,0,0,0,0,1,0,0
21,Lands End Lookout,37.779723,-122.511576,8943,Scenic lookout,0,0,0,0,0,0,1,0,0
22,Billy Goat Hill Park,37.740717353674626,-122.43244860765093,5638,Scenic lookout,0,0,0,0,0,0,1,0,0
23,Lafayette Park,37.791246594951375,-122.42808063995858,1580,Scenic lookout,0,0,0,0,0,0,1,0,0
24,Lobos Valley Overlook,37.787979638314894,-122.47589707374573,5753,Scenic lookout,0,0,0,0,0,0,1,0,0
25,Sausalito Sea Lion Statue,37.85172302128657,-122.47883742722193,9271,Scenic lookout,0,0,0,0,0,0,1,0,0
26,Crocker Galleria Roof Terrace,37.78914610393464,-122.40244687451936,714,Scenic lookout,0,0,0,0,0,0,1,0,0
27,West Bluff Picnic Area and Beach,37.80664385016496,-122.46917251169155,5550,Scenic lookout,0,0,0,0,0,0,1,0,0
28,Pier 14,37.79374887658869,-122.3910886143392,1812,Scenic lookout,0,0,0,0,0,0,1,0,0
29,Lombard Street,37.802118215911136,-122.41902189526232,1711,Scenic lookout,0,0,0,0,0,0,1,0,0
30,Mission Dolores Park,37.75998998481965,-122.4271184206009,3474,Scenic lookout,0,0,0,0,0,0,1,0,0
31,Pier 7,37.80006187146774,-122.39442793827594,1926,Scenic lookout,0,0,0,0,0,0,1,0,0
32,Corona Heights Park,37.7650225313372,-122.43883066273017,3595,Scenic lookout,0,0,0,0,0,0,1,0,0
33,Coit Tower,37.802398123661035,-122.40583930386968,1622,Scenic lookout,0,0,0,0,0,0,1,0,0
34,Cupid's Span,37.79154065815569,-122.39001274108887,1838,Scenic lookout,0,0,0,0,0,0,1,0,0
35,Kite Hill Open Space,37.758289882870194,-122.44143521277012,4309,Scenic lookout,0,0,0,0,0,0,1,0,0
36,Presidio of San Francisco,37.79923865734214,-122.4647283554077,4923,Scenic lookout,0,0,0,0,0,0,1,0,0
37,Twin Peaks Summit,37.75457824954849,-122.44688093662262,4933,Scenic lookout,0,0,0,0,0,0,1,0,0
38,Buena Vista Park,37.768497022617865,-122.44062775550447,3447,Scenic lookout,0,0,0,0,0,0,1,0,0
39,Bay Area,37.808200275900326,-122.4760656515639,6178,Scenic lookout,0,0,0,0,0,0,1,0,0
40,Crissy Field,37.804341954682855,-122.46535062789917,5144,Scenic lookout,0,0,0,0,0,0,1,0,0
41,Paramount rooftop,37.78668646696816,-122.40207041076984,763,Scenic lookout,0,0,0,0,0,0,1,0,0
42,Aquatic Point,37.810496182905986,-122.42446721131131,2759,Scenic lookout,0,0,0,0,0,0,1,0,0
43,Vulcan Stairway,37.76346753677887,-122.44115442037582,3862,Scenic lookout,0,0,0,0,0,0,1,0,0
44,Rincon Park,37.79114136918512,-122.39018134976637,1815,Scenic lookout,0,0,0,0,0,0,1,0,0
45,Top of Potrero Hill,37.75730833758727,-122.3999085244793,3573,Scenic lookout,0,0,0,0,0,0,1,0,0
46,Battery Townsley,37.83608593349265,-122.54301987869462,12811,Scenic lookout,0,0,0,0,0,0,1,0,0
47,Embarcadero St & Howard St,37.79265952005808,-122.39097080519072,1785,Scenic lookout,0,0,0,0,0,0,1,0,0
48,Peter Macchiarini Steps,37.798813592765626,-122.4057012610922,1244,Scenic lookout,0,0,0,0,0,0,1,0,0
49,Campanile (Sather Tower),37.87193214890736,-122.2580968508397,16316,Scenic lookout,0,0,0,0,0,0,1,0,0
50,Hidden Garden Mosaic Steps,37.759606171811136,-122.47362792491913,6407,Scenic lookout,0,0,0,0,0,0,1,0,0
51,Battery Spencer,37.8279832835221,-122.48217612504958,7697,Scenic lookout,0,0,0,0,0,0,1,0,0
52,Strawberry Hill,37.76844396383533,-122.47538575501751,6121,Scenic lookout,0,0,0,0,0,0,1,0,0
53,Hawk Hill,37.826989584370125,-122.49919743672497,8910,Scenic lookout,0,0,0,0,0,0,1,0,0
54,Fort Mason Great Meadow,37.80498194040014,-122.43005487797149,2531,Scenic lookout,0,0,0,0,0,0,1,0,0
55,Golden Gate Heights Park,37.7503220430415,-122.4686528820759,6637,Scenic lookout,0,0,0,0,0,0,1,0,0
56,Lands End,37.78315503056424,-122.51118555665016,8876,Scenic lookout,0,0,0,0,0,0,1,0,0
57,Muir Beach Overlook,37.86300922931121,-122.58564617884193,17502,Scenic lookout,0,0,0,0,0,0,1,0,0
58,The Clocktower Building,37.78377397892649,-122.39344630652968,1582,Scenic lookout,0,0,0,0,0,0,1,0,0
59,City View at Metreon,37.78437337616783,-122.40284915341124,802,Scenic lookout,0,0,0,0,0,0,1,0,0
60,Sutro Heights Park,37.777668670358395,-122.51079797744751,8903,Scenic lookout,0,0,0,0,0,0,1,0,0
61,Marin Headlands,37.83331046947234,-122.49373912811278,8871,Scenic lookout,0,0,0,0,0,0,1,0,0
62,Brannan Street Wharf,37.78439626788962,-122.38780250919531,2043,Scenic lookout,0,0,0,0,0,0,1,0,0
63,Tilden View Point,37.880384693878696,-122.24757064819194,17614,Scenic lookout,0,0,0,0,0,0,1,0,0
64,Twin Peaks Summit (South/Noe Peak),37.751579570617366,-122.44768023490906,5235,Scenic lookout,0,0,0,0,0,0,1,0,0
65,Sutro Baths,37.78042984007032,-122.51285084626193,9047,Scenic lookout,0,0,0,0,0,0,1,0,0
66,Mount Olympus,37.763306385544766,-122.44554251432419,4153,Scenic lookout,0,0,0,0,0,0,1,0,0
67,Kirby Cove,37.82719226278575,-122.49000549316408,8224,Scenic lookout,0,0,0,0,0,0,1,0,0
68,Agua Vista Park,37.76614132377395,-122.38613426685333,3268,Scenic lookout,0,0,0,0,0,0,1,0,0
69,Grizzly Peak,37.88126,-122.23146,18837,Scenic lookout,0,0,0,0,0,0,1,0,0
70,Municipal Pier,37.810491241769874,-122.42514962985862,2786,Scenic lookout,0,0,0,0,0,0,1,0,0
71,Pemberton Steps,37.758293558681466,-122.44692653417586,4629,Scenic lookout,0,0,0,0,0,0,1,0,0
72,Treasure Island,37.824090595823414,-122.37070083618163,5303,Scenic lookout,0,0,0,0,0,0,1,0,0
73,Twin Peaks Summit (North/Eureka Peak),37.75315314996302,-122.44729936122896,5078,Scenic lookout,0,0,0,0,0,0,1,0,0
74,Yerba Buena Island,37.80999813154709,-122.36632412676066,4575,Scenic lookout,0,0,0,0,0,0,1,0,0
75,Crissy Field Fishing Pier,37.808541273286345,-122.4706733797899,5752,Scenic lookout,0,0,0,0,0,0,1,0,0
