,Cluster_label,Venue_name,Venue_lat,Venue_lng,Distance,Beach,Ethiopian_restaurant,Indian_restaurant,Italian_restaurant,Lake,Mexican_restaurant,Scenic_lookout,Thai_restaurant,Waterfall
157,2,Iron Triangle,37.94068072991356,-122.37085054906798,17317,0,0,0,0,0,0,1,0,0
123,2,Top of Camino Alto,37.91427378400488,-122.52944469451906,17491,0,0,0,0,0,0,1,0,0
57,2,Muir Beach Overlook,37.86300922931121,-122.58564617884193,17502,0,0,0,0,0,0,1,0,0
63,2,Tilden View Point,37.880384693878696,-122.24757064819194,17614,0,0,0,0,0,0,1,0,0
156,2,Pacific View,37.641160742834984,-122.4913538632353,17859,0,0,0,1,0,0,0,0,0
156,2,Pacific View,37.641160742834984,-122.4913538632353,17859,0,1,0,0,0,0,0,0,0
156,2,Pacific View,37.641160742834984,-122.4913538632353,17859,0,0,0,0,0,0,0,1,0
156,2,Pacific View,37.641160742834984,-122.4913538632353,17859,0,0,0,0,0,1,0,0,0
156,2,Pacific View,37.641160742834984,-122.4913538632353,17859,0,0,1,0,0,0,0,0,0
156,2,Pacific View,37.641160742834984,-122.4913538632353,17859,1,0,0,0,0,0,0,0,0
96,2,Oakland Hills,37.84918861820868,-122.22199291560767,17908,0,0,0,0,0,0,1,0,0
68,2,San Quentin Beach,37.941923461933904,-122.48223426674141,18226,1,0,0,0,0,0,0,0,0
68,2,San Quentin Beach,37.941923461933904,-122.48223426674141,18226,0,0,0,0,0,0,0,1,0
68,2,San Quentin Beach,37.941923461933904,-122.48223426674141,18226,0,0,1,0,0,0,0,0,0
68,2,San Quentin Beach,37.941923461933904,-122.48223426674141,18226,0,1,0,0,0,0,0,0,0
68,2,San Quentin Beach,37.941923461933904,-122.48223426674141,18226,0,0,0,0,0,1,0,0,0
68,2,San Quentin Beach,37.941923461933904,-122.48223426674141,18226,0,0,0,1,0,0,0,0,0
44,2,Lake Anza,37.895589,-122.251105,18411,0,0,0,0,0,0,0,1,0
44,2,Lake Anza,37.895589,-122.251105,18411,0,0,0,0,0,1,0,0,0
2,2,Lake Anza,37.895589,-122.251105,18411,0,0,0,0,1,0,0,0,0
44,2,Lake Anza,37.895589,-122.251105,18411,1,0,0,0,0,0,0,0,0
44,2,Lake Anza,37.895589,-122.251105,18411,0,0,0,1,0,0,0,0,0
44,2,Lake Anza,37.895589,-122.251105,18411,0,1,0,0,0,0,0,0,0
44,2,Lake Anza,37.895589,-122.251105,18411,0,0,1,0,0,0,0,0,0
68,2,Jewel Lake,37.90990928202872,-122.2658622819385,18571,0,0,0,0,1,0,0,0,0
18,2,Tilden Regional Park,37.89995,-122.250956,18739,0,0,0,0,1,0,0,0,0
69,2,Grizzly Peak,37.88126,-122.23146,18837,0,0,0,0,0,0,1,0,0
147,2,Observation Deck,37.618672,-122.393387,18942,0,0,0,0,0,0,1,0,0
29,2,San Andreas Trail,37.61860926694178,-122.4419548196187,19091,0,0,0,0,1,0,0,0,0
187,2,SkyTerrace,37.617327,-122.383568,19179,0,0,0,0,0,0,1,0,0
74,2,Limantour Beach,37.944965800092604,-122.50366396730139,19266,0,0,0,0,0,1,0,0,0
74,2,Limantour Beach,37.944965800092604,-122.50366396730139,19266,1,0,0,0,0,0,0,0,0
74,2,Limantour Beach,37.944965800092604,-122.50366396730139,19266,0,0,0,1,0,0,0,0,0
74,2,Limantour Beach,37.944965800092604,-122.50366396730139,19266,0,0,0,0,0,0,0,1,0
