,Cluster Labels,venue_lat,venue_lng,distance,Beach,Ethiopian_restaurant,Indian_restaurant,Italian_restaurant,Lake,Mexican_restaurant,Scenic_lookout,Thai_restaurant,Waterfall
160,1,37.78451863796338,-122.40626465144256,562,0,0,0,0,0,0,1,0,0
111,1,37.78768,-122.403878,586,0,0,0,0,0,0,1,0,0
26,1,37.78914610393464,-122.40244687451936,714,0,0,0,0,0,0,1,0,0
41,1,37.78668646696816,-122.40207041076984,763,0,0,0,0,0,0,1,0,0
177,1,37.790118607033016,-122.4020983473183,766,0,0,0,0,0,0,1,0,0
2,1,37.784809,-122.402549,800,0,0,0,0,0,0,0,0,1
59,1,37.78437337616783,-122.40284915341124,802,0,0,0,0,0,0,1,0,0
148,1,37.79253978836316,-122.40048581096002,999,0,0,0,0,0,0,1,0,0
78,1,37.796897,-122.414488,1019,0,0,0,0,0,0,1,0,0
179,1,37.79642703413752,-122.40431614281337,1055,0,0,1,0,0,0,0,0,0
179,1,37.79642703413752,-122.40431614281337,1055,1,0,0,0,0,0,0,0,0
179,1,37.79642703413752,-122.40431614281337,1055,0,1,0,0,0,0,0,0,0
179,1,37.79642703413752,-122.40431614281337,1055,0,0,0,0,0,0,0,1,0
179,1,37.79642703413752,-122.40431614281337,1055,0,0,0,1,0,0,0,0,0
179,1,37.79642703413752,-122.40431614281337,1055,0,0,0,0,0,1,0,0,0
114,1,37.798486810991726,-122.40975956234908,1135,0,0,0,0,0,0,1,0,0
177,1,37.78722038033328,-122.39763905462681,1137,0,0,1,0,0,0,0,0,0
177,1,37.78722038033328,-122.39763905462681,1137,0,0,0,0,0,1,0,0,0
177,1,37.78722038033328,-122.39763905462681,1137,0,0,0,0,0,0,0,1,0
177,1,37.78722038033328,-122.39763905462681,1137,0,0,0,1,0,0,0,0,0
177,1,37.78722038033328,-122.39763905462681,1137,1,0,0,0,0,0,0,0,0
177,1,37.78722038033328,-122.39763905462681,1137,0,1,0,0,0,0,0,0,0
71,1,37.79813384627597,-122.40637986504598,1153,1,0,0,0,0,0,0,0,0
71,1,37.79813384627597,-122.40637986504598,1153,0,0,1,0,0,0,0,0,0
71,1,37.79813384627597,-122.40637986504598,1153,0,0,0,1,0,0,0,0,0
71,1,37.79813384627597,-122.40637986504598,1153,0,0,0,0,0,0,0,1,0
71,1,37.79813384627597,-122.40637986504598,1153,0,1,0,0,0,0,0,0,0
71,1,37.79813384627597,-122.40637986504598,1153,0,0,0,0,0,1,0,0,0
117,1,37.79855296729771,-122.40731847728442,1175,0,1,0,0,0,0,0,0,0
117,1,37.79855296729771,-122.40731847728442,1175,0,0,1,0,0,0,0,0,0
117,1,37.79855296729771,-122.40731847728442,1175,0,0,0,1,0,0,0,0,0
117,1,37.79855296729771,-122.40731847728442,1175,0,0,0,0,0,1,0,0,0
117,1,37.79855296729771,-122.40731847728442,1175,1,0,0,0,0,0,0,0,0
117,1,37.79855296729771,-122.40731847728442,1175,0,0,0,0,0,0,0,1,0
76,1,37.799034844291626,-122.4083890485705,1209,1,0,0,0,0,0,0,0,0
76,1,37.799034844291626,-122.4083890485705,1209,0,0,0,0,0,1,0,0,0
76,1,37.799034844291626,-122.4083890485705,1209,0,1,0,0,0,0,0,0,0
76,1,37.799034844291626,-122.4083890485705,1209,0,0,0,1,0,0,0,0,0
76,1,37.799034844291626,-122.4083890485705,1209,0,0,0,0,0,0,0,1,0
76,1,37.799034844291626,-122.4083890485705,1209,0,0,1,0,0,0,0,0,0
48,1,37.798813592765626,-122.4057012610922,1244,0,0,0,0,0,0,1,0,0
62,1,37.799624753044924,-122.40835693948438,1274,0,0,1,0,0,0,0,0,0
62,1,37.799624753044924,-122.40835693948438,1274,0,0,0,1,0,0,0,0,0
62,1,37.799624753044924,-122.40835693948438,1274,0,0,0,0,0,0,0,1,0
62,1,37.799624753044924,-122.40835693948438,1274,1,0,0,0,0,0,0,0,0
62,1,37.799624753044924,-122.40835693948438,1274,0,1,0,0,0,0,0,0,0
62,1,37.799624753044924,-122.40835693948438,1274,0,0,0,0,0,1,0,0,0
17,1,37.799172725859854,-122.40412419910872,1333,0,0,0,0,0,0,1,0,0
174,1,37.80038714317991,-122.40914575479546,1350,0,1,0,0,0,0,0,0,0
174,1,37.80038714317991,-122.40914575479546,1350,0,0,0,1,0,0,0,0,0
174,1,37.80038714317991,-122.40914575479546,1350,0,0,1,0,0,0,0,0,0
174,1,37.80038714317991,-122.40914575479546,1350,1,0,0,0,0,0,0,0,0
