,Cluster_label,Venue_name,Venue_lat,Venue_lng,Distance,Beach,Ethiopian_restaurant,Indian_restaurant,Italian_restaurant,Lake,Mexican_restaurant,Scenic_lookout,Waterfall
181,1,Matador,37.78889842465854,-122.41157012980247,115,0,0,0,0,0,1,0,0
137,1,L'ottavo Ristorante,37.78895006362137,-122.41175317877553,131,0,0,0,1,0,0,0,0
39,1,Colibrí Mexican Bistro,37.78710894778109,-122.41053335755987,132,0,0,0,0,0,1,0,0
82,1,Fino Restaurant,37.78792121397233,-122.41226661901916,161,0,0,0,1,0,0,0,0
163,1,Tacorea,37.78976228934146,-122.41079181432723,164,0,0,0,0,0,1,0,0
77,1,Scala's Bistro,37.78884871255861,-122.40839526057243,194,0,0,0,1,0,0,0,0
87,1,Uncle Vito's Pizza,37.790114981409864,-122.40888126846332,247,0,0,0,1,0,0,0,0
109,1,Chipotle Mexican Grill,37.7864817,-122.4086095,261,0,0,0,0,0,1,0,0
117,1,Kinara,37.787816,-122.413663,283,0,0,1,0,0,0,0,0
174,1,Shalimar,37.786208278007535,-122.41296143224372,317,0,0,1,0,0,0,0,0
181,1,Taj Campton Place,37.78899540606265,-122.40687447184708,328,0,0,1,0,0,0,0,0
33,1,Red Chilli,37.786140937717754,-122.41306483059412,329,0,0,1,0,0,0,0,0
6,1,Gusto Pinsa Romana,37.7895944763817,-122.41387265343073,329,0,0,0,1,0,0,0,0
81,1,Chutney Restaurant,37.78601675531255,-122.41300293184871,336,0,0,1,0,0,0,0,0
155,1,Campton Place Bistro,37.789127,-122.40677,340,0,0,1,0,0,0,0,0
17,1,Campton Place Restaurant,37.789043470877886,-122.40673715177148,341,0,0,1,0,0,0,0,0
100,1,New Delhi,37.78546986409845,-122.40894377231596,343,0,0,1,0,0,0,0,0
129,1,Chaat Corner,37.78553241641801,-122.40876655972792,343,0,0,1,0,0,0,0,0
44,1,Pakwan Indian Restaurant,37.78575156754699,-122.41294508770703,356,0,0,1,0,0,0,0,0
161,1,Puccini & Pinetti,37.78530029284506,-122.40862191513929,372,0,0,0,1,0,0,0,0
12,1,Chisme,37.78846715609786,-122.41480239709736,378,0,0,0,0,0,1,0,0
52,1,Punjab Kabab House,37.78441036898616,-122.40938403900311,443,0,0,1,0,0,0,0,0
126,1,Tikka Masala,37.78485149731695,-122.41318889402532,450,0,0,1,0,0,0,0,0
5,1,Little Delhi,37.78439137559411,-122.40910207123527,452,0,0,1,0,0,0,0,0
90,1,Newa,37.78469402137638,-122.41295099258423,455,0,0,1,0,0,0,0,0
187,1,El Tesoro Taqueria & Grill,37.7855435872254,-122.41461021407221,474,0,0,0,0,0,1,0,0
10,1,Lahore Karahi,37.785546233744164,-122.41502240207195,502,0,0,1,0,0,0,0,0
2,1,Tadu Ethiopian Kitchen,37.78471802269632,-122.41414449766289,511,0,1,0,0,0,0,0,0
84,1,Nob Hill Cafe,37.793009,-122.412597,555,0,0,0,1,0,0,0,0
0,1,Amber,37.785967464712556,-122.40456727431445,582,0,0,1,0,0,0,0,0
106,1,One Kearny Rooftop,37.78768,-122.403878,586,0,0,0,0,0,0,1,0
59,1,Nob Hill Cafe,37.793296000000005,-122.41263700000002,587,0,0,0,1,0,0,0,0
